Player 1, Player 2, Winner

3_1:
Knotter,Unknotter,Unknotter
Unknotter,Knotter,Unknotter
Knotter,Random,Knotter,0.514
Random,Knotter,Random,0.752
Unknotter,Random,Unknotter,1.0
Random,Unknotter,Random,0.738
4_1:
Knotter,Unknotter,Unknotter
Unknotter,Knotter,Unknotter
Knotter,Random,Knotter,0.739
Random,Knotter,Random,0.742
Unknotter,Random,Unknotter,1.0
Random,Unknotter,Random,0.754
5_1:
Knotter,Unknotter,Unknotter
Unknotter,Knotter,Unknotter
Knotter,Random,Random,0.749
Random,Knotter,Random,0.505
Unknotter,Random,Unknotter,1.0
Random,Unknotter,Random,0.519
5_2:
Knotter,Unknotter,Unknotter
Unknotter,Knotter,Unknotter
Knotter,Random,Random,0.534
Random,Knotter,Random,0.628
Unknotter,Random,Unknotter,1.0
Random,Unknotter,Random,0.64
6_1:
Knotter,Unknotter,Unknotter
Unknotter,Knotter,Unknotter
Knotter,Random,Knotter,0.599
Random,Knotter,Random,0.649
Unknotter,Random,Unknotter,1.0
Random,Unknotter,Random,0.609
6_2:
Knotter,Unknotter,Unknotter
Unknotter,Knotter,Unknotter
Knotter,Random,Knotter,0.5740000000000001
Random,Knotter,Knotter,0.5409999999999999
Unknotter,Random,Unknotter,1.0
Random,Unknotter,Random,0.561
6_3:
Knotter,Unknotter,Unknotter
Unknotter,Knotter,Unknotter
Knotter,Random,Random,0.568
Random,Knotter,Knotter,0.5469999999999999
Unknotter,Random,Unknotter,1.0
Random,Unknotter,Unknotter,0.54
7_1:
Knotter,Unknotter,Unknotter
Unknotter,Knotter,Unknotter
Knotter,Random,Random,0.848
Random,Knotter,Knotter,0.655
Unknotter,Random,Unknotter,1.0
Random,Unknotter,Unknotter,0.677
7_2:
Knotter,Unknotter,Unknotter
Unknotter,Knotter,Unknotter
Knotter,Random,Random,0.688
Random,Knotter,Random,0.524
Unknotter,Random,Unknotter,1.0
Random,Unknotter,Random,0.511
7_3:
Knotter,Unknotter,Unknotter
Unknotter,Knotter,Unknotter
Knotter,Random,Random,0.784
Random,Knotter,Knotter,0.525
Unknotter,Random,Unknotter,1.0
Random,Unknotter,Unknotter,0.649
7_4:
Knotter,Unknotter,Unknotter
Unknotter,Knotter,Unknotter
Knotter,Random,Random,0.683
Random,Knotter,Random,0.519
Unknotter,Random,Unknotter,1.0
Random,Unknotter,Unknotter,0.503
7_5:
Knotter,Unknotter,Unknotter
Unknotter,Knotter,Unknotter
Knotter,Random,Random,0.769
Random,Knotter,Knotter,0.605
Unknotter,Random,Unknotter,1.0
Random,Unknotter,Unknotter,0.602
7_6:
Knotter,Unknotter,Unknotter
Unknotter,Knotter,Unknotter
Knotter,Random,Random,0.728
Random,Knotter,Knotter,0.5409999999999999
Unknotter,Random,Unknotter,1.0
Random,Unknotter,Random,0.503
7_7:
Knotter,Unknotter,Unknotter
Unknotter,Knotter,Unknotter
Knotter,Random,Knotter,0.5469999999999999
Random,Knotter,Random,0.526
Unknotter,Random,Unknotter,1.0
Random,Unknotter,Random,0.629
